Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Reporting Mechanism,Reported on PC Live Site
NORTH SHORE PHYSICIANS GROUP INC,3577467224.000,MA,CAHPS_GRP_1,Getting timely care, appointments, and information.,64.000,$null$,$null$
NORTH SHORE PHYSICIANS GROUP INC,3577467224.000,MA,CAHPS_GRP_10,Between visit communication.,58.000,$null$,$null$
NORTH SHORE PHYSICIANS GROUP INC,3577467224.000,MA,CAHPS_GRP_12,Attention to patient medication cost.,21.000,$null$,$null$
NORTH SHORE PHYSICIANS GROUP INC,3577467224.000,MA,CAHPS_GRP_2,How well clinicians communicate.,85.000,$null$,$null$
NORTH SHORE PHYSICIANS GROUP INC,3577467224.000,MA,CAHPS_GRP_3,Patients' rating of clinicians.,85.000,$null$,$null$
NORTH SHORE PHYSICIANS GROUP INC,3577467224.000,MA,CAHPS_GRP_5,Health promotion and education.,71.000,$null$,$null$
NORTH SHORE PHYSICIANS GROUP INC,3577467224.000,MA,CAHPS_GRP_8,Courteous and helpful office staff.,80.000,$null$,$null$
NORTH SHORE PHYSICIANS GROUP INC,3577467224.000,MA,CAHPS_GRP_9,Clinicians working together for your care.,79.000,$null$,$null$
REGENTS OF THE UNIVESITY OF CALIFORNIA - UCSD MEDICAL GROUP,3577476761.000,CA,CAHPS_GRP_1,Getting timely care, appointments, and information.,58.000,$null$,$null$
REGENTS OF THE UNIVESITY OF CALIFORNIA - UCSD MEDICAL GROUP,3577476761.000,CA,CAHPS_GRP_10,Between visit communication.,68.000,$null$,$null$
REGENTS OF THE UNIVESITY OF CALIFORNIA - UCSD MEDICAL GROUP,3577476761.000,CA,CAHPS_GRP_12,Attention to patient medication cost.,21.000,$null$,$null$
REGENTS OF THE UNIVESITY OF CALIFORNIA - UCSD MEDICAL GROUP,3577476761.000,CA,CAHPS_GRP_2,How well clinicians communicate.,86.000,$null$,$null$
REGENTS OF THE UNIVESITY OF CALIFORNIA - UCSD MEDICAL GROUP,3577476761.000,CA,CAHPS_GRP_3,Patients' rating of clinicians.,83.000,$null$,$null$
REGENTS OF THE UNIVESITY OF CALIFORNIA - UCSD MEDICAL GROUP,3577476761.000,CA,CAHPS_GRP_5,Health promotion and education.,62.000,$null$,$null$
REGENTS OF THE UNIVESITY OF CALIFORNIA - UCSD MEDICAL GROUP,3577476761.000,CA,CAHPS_GRP_8,Courteous and helpful office staff.,84.000,$null$,$null$
REGENTS OF THE UNIVESITY OF CALIFORNIA - UCSD MEDICAL GROUP,3577476761.000,CA,CAHPS_GRP_9,Clinicians working together for your care.,77.000,$null$,$null$
SAINT LUKE'S PHYSICIAN GROUP INC,3577476894.000,MO,CAHPS_GRP_1,Getting timely care, appointments, and information.,53.000,$null$,$null$
SAINT LUKE'S PHYSICIAN GROUP INC,3577476894.000,MO,CAHPS_GRP_10,Between visit communication.,44.000,$null$,$null$
SAINT LUKE'S PHYSICIAN GROUP INC,3577476894.000,MO,CAHPS_GRP_12,Attention to patient medication cost.,34.000,$null$,$null$
SAINT LUKE'S PHYSICIAN GROUP INC,3577476894.000,MO,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$
SAINT LUKE'S PHYSICIAN GROUP INC,3577476894.000,MO,CAHPS_GRP_3,Patients' rating of clinicians.,78.000,$null$,$null$
SAINT LUKE'S PHYSICIAN GROUP INC,3577476894.000,MO,CAHPS_GRP_5,Health promotion and education.,64.000,$null$,$null$
SAINT LUKE'S PHYSICIAN GROUP INC,3577476894.000,MO,CAHPS_GRP_8,Courteous and helpful office staff.,79.000,$null$,$null$
SAINT LUKE'S PHYSICIAN GROUP INC,3577476894.000,MO,CAHPS_GRP_9,Clinicians working together for your care.,75.000,$null$,$null$
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,CAHPS_GRP_1,Getting timely care, appointments, and information.,56.000,$null$,$null$
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,CAHPS_GRP_10,Between visit communication.,60.000,$null$,$null$
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,CAHPS_GRP_12,Attention to patient medication cost.,18.000,$null$,$null$
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,CAHPS_GRP_2,How well clinicians communicate.,80.000,$null$,$null$
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,CAHPS_GRP_3,Patients' rating of clinicians.,79.000,$null$,$null$
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,CAHPS_GRP_5,Health promotion and education.,57.000,$null$,$null$
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,CAHPS_GRP_8,Courteous and helpful office staff.,84.000,$null$,$null$
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,CAHPS_GRP_9,Clinicians working together for your care.,74.000,$null$,$null$
SANSUM CLINIC,3678471976.000,CA,CAHPS_GRP_1,Getting timely care, appointments, and information.,58.000,$null$,$null$
SANSUM CLINIC,3678471976.000,CA,CAHPS_GRP_10,Between visit communication.,61.000,$null$,$null$
SANSUM CLINIC,3678471976.000,CA,CAHPS_GRP_12,Attention to patient medication cost.,23.000,$null$,$null$
SANSUM CLINIC,3678471976.000,CA,CAHPS_GRP_2,How well clinicians communicate.,82.000,$null$,$null$
SANSUM CLINIC,3678471976.000,CA,CAHPS_GRP_3,Patients' rating of clinicians.,78.000,$null$,$null$
SANSUM CLINIC,3678471976.000,CA,CAHPS_GRP_5,Health promotion and education.,57.000,$null$,$null$
SANSUM CLINIC,3678471976.000,CA,CAHPS_GRP_9,Clinicians working together for your care.,75.000,$null$,$null$
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,CAHPS_GRP_1,Getting timely care, appointments, and information.,56.000,$null$,$null$
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,CAHPS_GRP_10,Between visit communication.,43.000,$null$,$null$
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,CAHPS_GRP_12,Attention to patient medication cost.,15.000,$null$,$null$
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,CAHPS_GRP_3,Patients' rating of clinicians.,79.000,$null$,$null$
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,CAHPS_GRP_5,Health promotion and education.,60.000,$null$,$null$
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,CAHPS_GRP_9,Clinicians working together for your care.,72.000,$null$,$null$
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,CAHPS_GRP_1,Getting timely care, appointments, and information.,66.000,$null$,$null$
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,CAHPS_GRP_10,Between visit communication.,66.000,$null$,$null$
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,CAHPS_GRP_12,Attention to patient medication cost.,21.000,$null$,$null$
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,CAHPS_GRP_2,How well clinicians communicate.,87.000,$null$,$null$
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,CAHPS_GRP_3,Patients' rating of clinicians.,82.000,$null$,$null$
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,CAHPS_GRP_5,Health promotion and education.,69.000,$null$,$null$
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,CAHPS_GRP_8,Courteous and helpful office staff.,90.000,$null$,$null$
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,CAHPS_GRP_9,Clinicians working together for your care.,79.000,$null$,$null$
SOUTHERN ILLINOIS MEDICAL SERVICES, NFP,3678677390.000,IL,CAHPS_GRP_1,Getting timely care, appointments, and information.,68.000,$null$,$null$
SOUTHERN ILLINOIS MEDICAL SERVICES, NFP,3678677390.000,IL,CAHPS_GRP_10,Between visit communication.,69.000,$null$,$null$
SOUTHERN ILLINOIS MEDICAL SERVICES, NFP,3678677390.000,IL,CAHPS_GRP_12,Attention to patient medication cost.,35.000,$null$,$null$
SOUTHERN ILLINOIS MEDICAL SERVICES, NFP,3678677390.000,IL,CAHPS_GRP_2,How well clinicians communicate.,86.000,$null$,$null$
SOUTHERN ILLINOIS MEDICAL SERVICES, NFP,3678677390.000,IL,CAHPS_GRP_3,Patients' rating of clinicians.,84.000,$null$,$null$
SOUTHERN ILLINOIS MEDICAL SERVICES, NFP,3678677390.000,IL,CAHPS_GRP_5,Health promotion and education.,56.000,$null$,$null$
SOUTHERN ILLINOIS MEDICAL SERVICES, NFP,3678677390.000,IL,CAHPS_GRP_8,Courteous and helpful office staff.,80.000,$null$,$null$
SOUTHERN ILLINOIS MEDICAL SERVICES, NFP,3678677390.000,IL,CAHPS_GRP_9,Clinicians working together for your care.,78.000,$null$,$null$
COMMUNITY CARE NETWORK INC,3678737012.000,IN,CAHPS_GRP_1,Getting timely care, appointments, and information.,59.000,$null$,$null$
COMMUNITY CARE NETWORK INC,3678737012.000,IN,CAHPS_GRP_10,Between visit communication.,52.000,$null$,$null$
COMMUNITY CARE NETWORK INC,3678737012.000,IN,CAHPS_GRP_12,Attention to patient medication cost.,30.000,$null$,$null$
COMMUNITY CARE NETWORK INC,3678737012.000,IN,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$
COMMUNITY CARE NETWORK INC,3678737012.000,IN,CAHPS_GRP_3,Patients' rating of clinicians.,82.000,$null$,$null$
COMMUNITY CARE NETWORK INC,3678737012.000,IN,CAHPS_GRP_5,Health promotion and education.,61.000,$null$,$null$
COMMUNITY CARE NETWORK INC,3678737012.000,IN,CAHPS_GRP_8,Courteous and helpful office staff.,85.000,$null$,$null$
COMMUNITY CARE NETWORK INC,3678737012.000,IN,CAHPS_GRP_9,Clinicians working together for your care.,74.000,$null$,$null$
FROEDTERT AND THE MEDICAL COLLEGE OF WISCONSIN COMMUNITY PHYSICIANS IN,3678760063.000,WI,CAHPS_GRP_1,Getting timely care, appointments, and information.,72.000,$null$,$null$
FROEDTERT AND THE MEDICAL COLLEGE OF WISCONSIN COMMUNITY PHYSICIANS IN,3678760063.000,WI,CAHPS_GRP_10,Between visit communication.,68.000,$null$,$null$
FROEDTERT AND THE MEDICAL COLLEGE OF WISCONSIN COMMUNITY PHYSICIANS IN,3678760063.000,WI,CAHPS_GRP_12,Attention to patient medication cost.,27.000,$null$,$null$
FROEDTERT AND THE MEDICAL COLLEGE OF WISCONSIN COMMUNITY PHYSICIANS IN,3678760063.000,WI,CAHPS_GRP_2,How well clinicians communicate.,87.000,$null$,$null$
FROEDTERT AND THE MEDICAL COLLEGE OF WISCONSIN COMMUNITY PHYSICIANS IN,3678760063.000,WI,CAHPS_GRP_3,Patients' rating of clinicians.,86.000,$null$,$null$
FROEDTERT AND THE MEDICAL COLLEGE OF WISCONSIN COMMUNITY PHYSICIANS IN,3678760063.000,WI,CAHPS_GRP_5,Health promotion and education.,62.000,$null$,$null$
FROEDTERT AND THE MEDICAL COLLEGE OF WISCONSIN COMMUNITY PHYSICIANS IN,3678760063.000,WI,CAHPS_GRP_8,Courteous and helpful office staff.,86.000,$null$,$null$
FROEDTERT AND THE MEDICAL COLLEGE OF WISCONSIN COMMUNITY PHYSICIANS IN,3678760063.000,WI,CAHPS_GRP_9,Clinicians working together for your care.,81.000,$null$,$null$
CITY OF HOPE MEDICAL FOUNDATION,3779751656.000,CA,CAHPS_GRP_1,Getting timely care, appointments, and information.,59.661,$null$,$null$
CITY OF HOPE MEDICAL FOUNDATION,3779751656.000,CA,CAHPS_GRP_10,Between visit communication.,55.000,$null$,$null$
CITY OF HOPE MEDICAL FOUNDATION,3779751656.000,CA,CAHPS_GRP_12,Attention to patient medication cost.,26.415,$null$,$null$
CITY OF HOPE MEDICAL FOUNDATION,3779751656.000,CA,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$
CITY OF HOPE MEDICAL FOUNDATION,3779751656.000,CA,CAHPS_GRP_3,Patients' rating of clinicians.,83.000,$null$,$null$
CITY OF HOPE MEDICAL FOUNDATION,3779751656.000,CA,CAHPS_GRP_5,Health promotion and education.,59.661,$null$,$null$
CITY OF HOPE MEDICAL FOUNDATION,3779751656.000,CA,CAHPS_GRP_8,Courteous and helpful office staff.,83.000,$null$,$null$
CITY OF HOPE MEDICAL FOUNDATION,3779751656.000,CA,CAHPS_GRP_9,Clinicians working together for your care.,75.698,$null$,$null$
SINGING RIVER HEALTH SYSTEM,3870405194.000,MS,CAHPS_GRP_1,Getting timely care, appointments, and information.,62.000,$null$,$null$
SINGING RIVER HEALTH SYSTEM,3870405194.000,MS,CAHPS_GRP_10,Between visit communication.,64.000,$null$,$null$
SINGING RIVER HEALTH SYSTEM,3870405194.000,MS,CAHPS_GRP_12,Attention to patient medication cost.,26.000,$null$,$null$
SINGING RIVER HEALTH SYSTEM,3870405194.000,MS,CAHPS_GRP_2,How well clinicians communicate.,78.000,$null$,$null$
SINGING RIVER HEALTH SYSTEM,3870405194.000,MS,CAHPS_GRP_3,Patients' rating of clinicians.,77.000,$null$,$null$
SINGING RIVER HEALTH SYSTEM,3870405194.000,MS,CAHPS_GRP_5,Health promotion and education.,58.000,$null$,$null$
SINGING RIVER HEALTH SYSTEM,3870405194.000,MS,CAHPS_GRP_8,Courteous and helpful office staff.,79.000,$null$,$null$
SINGING RIVER HEALTH SYSTEM,3870405194.000,MS,CAHPS_GRP_9,Clinicians working together for your care.,75.000,$null$,$null$
MICHIGAN STATE UNIVERSITY,3870405954.000,MI,CAHPS_GRP_1,Getting timely care, appointments, and information.,50.000,$null$,$null$
MICHIGAN STATE UNIVERSITY,3870405954.000,MI,CAHPS_GRP_10,Between visit communication.,50.000,$null$,$null$
MICHIGAN STATE UNIVERSITY,3870405954.000,MI,CAHPS_GRP_12,Attention to patient medication cost.,27.000,$null$,$null$
MICHIGAN STATE UNIVERSITY,3870405954.000,MI,CAHPS_GRP_2,How well clinicians communicate.,78.000,$null$,$null$
MICHIGAN STATE UNIVERSITY,3870405954.000,MI,CAHPS_GRP_3,Patients' rating of clinicians.,77.000,$null$,$null$
MICHIGAN STATE UNIVERSITY,3870405954.000,MI,CAHPS_GRP_5,Health promotion and education.,61.000,$null$,$null$
MICHIGAN STATE UNIVERSITY,3870405954.000,MI,CAHPS_GRP_8,Courteous and helpful office staff.,73.000,$null$,$null$
MICHIGAN STATE UNIVERSITY,3870405954.000,MI,CAHPS_GRP_9,Clinicians working together for your care.,70.000,$null$,$null$
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988.000,MA,CAHPS_GRP_1,Getting timely care, appointments, and information.,62.000,$null$,$null$
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988.000,MA,CAHPS_GRP_10,Between visit communication.,49.000,$null$,$null$
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988.000,MA,CAHPS_GRP_12,Attention to patient medication cost.,20.000,$null$,$null$
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988.000,MA,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988.000,MA,CAHPS_GRP_3,Patients' rating of clinicians.,84.000,$null$,$null$
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988.000,MA,CAHPS_GRP_5,Health promotion and education.,67.000,$null$,$null$
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988.000,MA,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988.000,MA,CAHPS_GRP_9,Clinicians working together for your care.,78.000,$null$,$null$
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,3870489586.000,WI,CAHPS_GRP_1,Getting timely care, appointments, and information.,62.000,$null$,$null$
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,3870489586.000,WI,CAHPS_GRP_10,Between visit communication.,65.000,$null$,$null$
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,3870489586.000,WI,CAHPS_GRP_12,Attention to patient medication cost.,21.000,$null$,$null$
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,3870489586.000,WI,CAHPS_GRP_2,How well clinicians communicate.,82.000,$null$,$null$
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,3870489586.000,WI,CAHPS_GRP_3,Patients' rating of clinicians.,81.000,$null$,$null$
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,3870489586.000,WI,CAHPS_GRP_5,Health promotion and education.,61.000,$null$,$null$
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,3870489586.000,WI,CAHPS_GRP_8,Courteous and helpful office staff.,90.000,$null$,$null$
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,3870489586.000,WI,CAHPS_GRP_9,Clinicians working together for your care.,75.000,$null$,$null$
MEDICAL ASSOCIATES CLINIC, P.C.,3870491228.000,IA,CAHPS_GRP_1,Getting timely care, appointments, and information.,59.000,$null$,$null$
MEDICAL ASSOCIATES CLINIC, P.C.,3870491228.000,IA,CAHPS_GRP_10,Between visit communication.,49.000,$null$,$null$
MEDICAL ASSOCIATES CLINIC, P.C.,3870491228.000,IA,CAHPS_GRP_12,Attention to patient medication cost.,21.000,$null$,$null$
MEDICAL ASSOCIATES CLINIC, P.C.,3870491228.000,IA,CAHPS_GRP_2,How well clinicians communicate.,81.000,$null$,$null$
MEDICAL ASSOCIATES CLINIC, P.C.,3870491228.000,IA,CAHPS_GRP_3,Patients' rating of clinicians.,80.000,$null$,$null$
MEDICAL ASSOCIATES CLINIC, P.C.,3870491228.000,IA,CAHPS_GRP_5,Health promotion and education.,55.000,$null$,$null$
MEDICAL ASSOCIATES CLINIC, P.C.,3870491228.000,IA,CAHPS_GRP_8,Courteous and helpful office staff.,81.000,$null$,$null$
MEDICAL ASSOCIATES CLINIC, P.C.,3870491228.000,IA,CAHPS_GRP_9,Clinicians working together for your care.,80.000,$null$,$null$
OZARKS MEDICAL CENTER,3870491863.000,MO,CAHPS_GRP_1,Getting timely care, appointments, and information.,57.000,$null$,$null$
OZARKS MEDICAL CENTER,3870491863.000,MO,CAHPS_GRP_10,Between visit communication.,57.853,$null$,$null$
OZARKS MEDICAL CENTER,3870491863.000,MO,CAHPS_GRP_12,Attention to patient medication cost.,26.415,$null$,$null$
OZARKS MEDICAL CENTER,3870491863.000,MO,CAHPS_GRP_2,How well clinicians communicate.,82.663,$null$,$null$
OZARKS MEDICAL CENTER,3870491863.000,MO,CAHPS_GRP_3,Patients' rating of clinicians.,81.274,$null$,$null$
OZARKS MEDICAL CENTER,3870491863.000,MO,CAHPS_GRP_5,Health promotion and education.,59.661,$null$,$null$
OZARKS MEDICAL CENTER,3870491863.000,MO,CAHPS_GRP_8,Courteous and helpful office staff.,81.274,$null$,$null$
OZARKS MEDICAL CENTER,3870491863.000,MO,CAHPS_GRP_9,Clinicians working together for your care.,75.698,$null$,$null$
PULMONARY ASSOCIATES OF MOBILE, P.C.,3870571912.000,AL,CAHPS_GRP_1,Getting timely care, appointments, and information.,76.000,$null$,$null$
PULMONARY ASSOCIATES OF MOBILE, P.C.,3870571912.000,AL,CAHPS_GRP_10,Between visit communication.,57.853,$null$,$null$
PULMONARY ASSOCIATES OF MOBILE, P.C.,3870571912.000,AL,CAHPS_GRP_12,Attention to patient medication cost.,26.415,$null$,$null$
PULMONARY ASSOCIATES OF MOBILE, P.C.,3870571912.000,AL,CAHPS_GRP_2,How well clinicians communicate.,82.663,$null$,$null$
PULMONARY ASSOCIATES OF MOBILE, P.C.,3870571912.000,AL,CAHPS_GRP_3,Patients' rating of clinicians.,81.274,$null$,$null$
PULMONARY ASSOCIATES OF MOBILE, P.C.,3870571912.000,AL,CAHPS_GRP_5,Health promotion and education.,59.661,$null$,$null$
PULMONARY ASSOCIATES OF MOBILE, P.C.,3870571912.000,AL,CAHPS_GRP_8,Courteous and helpful office staff.,91.000,$null$,$null$
PULMONARY ASSOCIATES OF MOBILE, P.C.,3870571912.000,AL,CAHPS_GRP_9,Clinicians working together for your care.,75.698,$null$,$null$
NORTHWELL HEALTHCARE INC,3971531039.000,NY,CAHPS_GRP_1,Getting timely care, appointments, and information.,69.000,$null$,$null$
NORTHWELL HEALTHCARE INC,3971531039.000,NY,CAHPS_GRP_10,Between visit communication.,61.000,$null$,$null$
NORTHWELL HEALTHCARE INC,3971531039.000,NY,CAHPS_GRP_12,Attention to patient medication cost.,20.000,$null$,$null$
NORTHWELL HEALTHCARE INC,3971531039.000,NY,CAHPS_GRP_2,How well clinicians communicate.,89.000,$null$,$null$
NORTHWELL HEALTHCARE INC,3971531039.000,NY,CAHPS_GRP_3,Patients' rating of clinicians.,86.000,$null$,$null$
NORTHWELL HEALTHCARE INC,3971531039.000,NY,CAHPS_GRP_5,Health promotion and education.,63.000,$null$,$null$
NORTHWELL HEALTHCARE INC,3971531039.000,NY,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$
NORTHWELL HEALTHCARE INC,3971531039.000,NY,CAHPS_GRP_9,Clinicians working together for your care.,77.000,$null$,$null$
GOOD SAMARITAN HOSPITAL PHYSICIAN SERVICES INC,3971671330.000,IN,CAHPS_GRP_1,Getting timely care, appointments, and information.,60.000,$null$,$null$
GOOD SAMARITAN HOSPITAL PHYSICIAN SERVICES INC,3971671330.000,IN,CAHPS_GRP_10,Between visit communication.,44.000,$null$,$null$
GOOD SAMARITAN HOSPITAL PHYSICIAN SERVICES INC,3971671330.000,IN,CAHPS_GRP_12,Attention to patient medication cost.,28.000,$null$,$null$
GOOD SAMARITAN HOSPITAL PHYSICIAN SERVICES INC,3971671330.000,IN,CAHPS_GRP_2,How well clinicians communicate.,84.000,$null$,$null$
GOOD SAMARITAN HOSPITAL PHYSICIAN SERVICES INC,3971671330.000,IN,CAHPS_GRP_3,Patients' rating of clinicians.,82.000,$null$,$null$
GOOD SAMARITAN HOSPITAL PHYSICIAN SERVICES INC,3971671330.000,IN,CAHPS_GRP_5,Health promotion and education.,51.000,$null$,$null$
GOOD SAMARITAN HOSPITAL PHYSICIAN SERVICES INC,3971671330.000,IN,CAHPS_GRP_8,Courteous and helpful office staff.,89.000,$null$,$null$
GOOD SAMARITAN HOSPITAL PHYSICIAN SERVICES INC,3971671330.000,IN,CAHPS_GRP_9,Clinicians working together for your care.,74.000,$null$,$null$
THE IOWA CLINIC PC,4082513742.000,IA,CAHPS_GRP_1,Getting timely care, appointments, and information.,70.000,$null$,$null$
THE IOWA CLINIC PC,4082513742.000,IA,CAHPS_GRP_10,Between visit communication.,64.000,$null$,$null$
THE IOWA CLINIC PC,4082513742.000,IA,CAHPS_GRP_12,Attention to patient medication cost.,27.000,$null$,$null$
THE IOWA CLINIC PC,4082513742.000,IA,CAHPS_GRP_2,How well clinicians communicate.,84.000,$null$,$null$
THE IOWA CLINIC PC,4082513742.000,IA,CAHPS_GRP_3,Patients' rating of clinicians.,80.000,$null$,$null$
THE IOWA CLINIC PC,4082513742.000,IA,CAHPS_GRP_5,Health promotion and education.,57.000,$null$,$null$
THE IOWA CLINIC PC,4082513742.000,IA,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$
THE IOWA CLINIC PC,4082513742.000,IA,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$
UNIVERSITY OF ARKANSAS,4082528955.000,AR,CAHPS_GRP_1,Getting timely care, appointments, and information.,52.000,$null$,$null$
UNIVERSITY OF ARKANSAS,4082528955.000,AR,CAHPS_GRP_10,Between visit communication.,60.000,$null$,$null$
UNIVERSITY OF ARKANSAS,4082528955.000,AR,CAHPS_GRP_12,Attention to patient medication cost.,26.415,$null$,$null$
UNIVERSITY OF ARKANSAS,4082528955.000,AR,CAHPS_GRP_2,How well clinicians communicate.,82.663,$null$,$null$
UNIVERSITY OF ARKANSAS,4082528955.000,AR,CAHPS_GRP_3,Patients' rating of clinicians.,81.274,$null$,$null$
UNIVERSITY OF ARKANSAS,4082528955.000,AR,CAHPS_GRP_5,Health promotion and education.,64.000,$null$,$null$
UNIVERSITY OF ARKANSAS,4082528955.000,AR,CAHPS_GRP_8,Courteous and helpful office staff.,81.000,$null$,$null$
UNIVERSITY OF ARKANSAS,4082528955.000,AR,CAHPS_GRP_9,Clinicians working together for your care.,75.698,$null$,$null$
NEW YORK QUEENS MEDICINE AND SURGERY, P.C.,4082883673.000,NY,CAHPS_GRP_1,Getting timely care, appointments, and information.,56.000,$null$,$null$
NEW YORK QUEENS MEDICINE AND SURGERY, P.C.,4082883673.000,NY,CAHPS_GRP_10,Between visit communication.,49.000,$null$,$null$
NEW YORK QUEENS MEDICINE AND SURGERY, P.C.,4082883673.000,NY,CAHPS_GRP_12,Attention to patient medication cost.,23.000,$null$,$null$
NEW YORK QUEENS MEDICINE AND SURGERY, P.C.,4082883673.000,NY,CAHPS_GRP_2,How well clinicians communicate.,82.000,$null$,$null$
NEW YORK QUEENS MEDICINE AND SURGERY, P.C.,4082883673.000,NY,CAHPS_GRP_3,Patients' rating of clinicians.,75.000,$null$,$null$
NEW YORK QUEENS MEDICINE AND SURGERY, P.C.,4082883673.000,NY,CAHPS_GRP_5,Health promotion and education.,61.000,$null$,$null$
NEW YORK QUEENS MEDICINE AND SURGERY, P.C.,4082883673.000,NY,CAHPS_GRP_8,Courteous and helpful office staff.,72.000,$null$,$null$
NEW YORK QUEENS MEDICINE AND SURGERY, P.C.,4082883673.000,NY,CAHPS_GRP_9,Clinicians working together for your care.,71.000,$null$,$null$
PARTNERS PHYSICIAN GROUP,4183529340.000,OH,CAHPS_GRP_1,Getting timely care, appointments, and information.,71.000,$null$,$null$
PARTNERS PHYSICIAN GROUP,4183529340.000,OH,CAHPS_GRP_10,Between visit communication.,51.000,$null$,$null$
PARTNERS PHYSICIAN GROUP,4183529340.000,OH,CAHPS_GRP_12,Attention to patient medication cost.,32.000,$null$,$null$
PARTNERS PHYSICIAN GROUP,4183529340.000,OH,CAHPS_GRP_2,How well clinicians communicate.,82.000,$null$,$null$
PARTNERS PHYSICIAN GROUP,4183529340.000,OH,CAHPS_GRP_3,Patients' rating of clinicians.,83.000,$null$,$null$
PARTNERS PHYSICIAN GROUP,4183529340.000,OH,CAHPS_GRP_5,Health promotion and education.,63.000,$null$,$null$
PARTNERS PHYSICIAN GROUP,4183529340.000,OH,CAHPS_GRP_8,Courteous and helpful office staff.,80.000,$null$,$null$
PARTNERS PHYSICIAN GROUP,4183529340.000,OH,CAHPS_GRP_9,Clinicians working together for your care.,71.000,$null$,$null$
DARTMOUTH-HITCHCOCK CLINIC,4183537509.000,NH,CAHPS_GRP_1,Getting timely care, appointments, and information.,61.000,$null$,$null$
DARTMOUTH-HITCHCOCK CLINIC,4183537509.000,NH,CAHPS_GRP_10,Between visit communication.,70.000,$null$,$null$
DARTMOUTH-HITCHCOCK CLINIC,4183537509.000,NH,CAHPS_GRP_12,Attention to patient medication cost.,25.000,$null$,$null$
DARTMOUTH-HITCHCOCK CLINIC,4183537509.000,NH,CAHPS_GRP_2,How well clinicians communicate.,88.000,$null$,$null$
DARTMOUTH-HITCHCOCK CLINIC,4183537509.000,NH,CAHPS_GRP_3,Patients' rating of clinicians.,83.000,$null$,$null$
