Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Footnote,State,Participating in PQRS,Inverse Measure,Reporting Mechanism,Reported on PC Live Site
PHYSICIAN GROUP OF UTAH INC,8022032234.000,UT,CAHPS_GRP_10,Between visit communication.,49.000,$null$,$null$,$null$,$null$,$null$,$null$
PHYSICIAN GROUP OF UTAH INC,8022032234.000,UT,CAHPS_GRP_12,Attention to patient medication cost.,40.000,$null$,$null$,$null$,$null$,$null$,$null$
PHYSICIAN GROUP OF UTAH INC,8022032234.000,UT,CAHPS_GRP_2,How well clinicians communicate.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
PHYSICIAN GROUP OF UTAH INC,8022032234.000,UT,CAHPS_GRP_3,Patients' rating of clinicians.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
PHYSICIAN GROUP OF UTAH INC,8022032234.000,UT,CAHPS_GRP_5,Health promotion and education.,62.000,$null$,$null$,$null$,$null$,$null$,$null$
PHYSICIAN GROUP OF UTAH INC,8022032234.000,UT,CAHPS_GRP_8,Courteous and helpful office staff.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
PHYSICIAN GROUP OF UTAH INC,8022032234.000,UT,CAHPS_GRP_9,Clinicians working together for your care.,74.000,$null$,$null$,$null$,$null$,$null$,$null$
BAYLOR COLLEGE OF MEDICINE,8022243971.000,TX,CAHPS_GRP_1,Getting timely care, appointments, and information.,60.000,$null$,$null$,$null$,$null$,$null$,$null$
BAYLOR COLLEGE OF MEDICINE,8022243971.000,TX,CAHPS_GRP_10,Between visit communication.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
BAYLOR COLLEGE OF MEDICINE,8022243971.000,TX,CAHPS_GRP_12,Attention to patient medication cost.,21.000,$null$,$null$,$null$,$null$,$null$,$null$
BAYLOR COLLEGE OF MEDICINE,8022243971.000,TX,CAHPS_GRP_2,How well clinicians communicate.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
BAYLOR COLLEGE OF MEDICINE,8022243971.000,TX,CAHPS_GRP_3,Patients' rating of clinicians.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
BAYLOR COLLEGE OF MEDICINE,8022243971.000,TX,CAHPS_GRP_5,Health promotion and education.,58.000,$null$,$null$,$null$,$null$,$null$,$null$
BAYLOR COLLEGE OF MEDICINE,8022243971.000,TX,CAHPS_GRP_8,Courteous and helpful office staff.,88.000,$null$,$null$,$null$,$null$,$null$,$null$
BAYLOR COLLEGE OF MEDICINE,8022243971.000,TX,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY CARE PHYSICIANS PC,8022904473.000,NY,CAHPS_GRP_1,Getting timely care, appointments, and information.,59.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY CARE PHYSICIANS PC,8022904473.000,NY,CAHPS_GRP_10,Between visit communication.,51.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY CARE PHYSICIANS PC,8022904473.000,NY,CAHPS_GRP_12,Attention to patient medication cost.,19.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY CARE PHYSICIANS PC,8022904473.000,NY,CAHPS_GRP_2,How well clinicians communicate.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY CARE PHYSICIANS PC,8022904473.000,NY,CAHPS_GRP_3,Patients' rating of clinicians.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY CARE PHYSICIANS PC,8022904473.000,NY,CAHPS_GRP_5,Health promotion and education.,59.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY CARE PHYSICIANS PC,8022904473.000,NY,CAHPS_GRP_8,Courteous and helpful office staff.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY CARE PHYSICIANS PC,8022904473.000,NY,CAHPS_GRP_9,Clinicians working together for your care.,71.000,$null$,$null$,$null$,$null$,$null$,$null$
ST LOUIS UNIVERSITY,8022921964.000,MO,CAHPS_GRP_1,Getting timely care, appointments, and information.,60.000,$null$,$null$,$null$,$null$,$null$,$null$
ST LOUIS UNIVERSITY,8022921964.000,MO,CAHPS_GRP_10,Between visit communication.,54.000,$null$,$null$,$null$,$null$,$null$,$null$
ST LOUIS UNIVERSITY,8022921964.000,MO,CAHPS_GRP_12,Attention to patient medication cost.,26.000,$null$,$null$,$null$,$null$,$null$,$null$
ST LOUIS UNIVERSITY,8022921964.000,MO,CAHPS_GRP_2,How well clinicians communicate.,86.000,$null$,$null$,$null$,$null$,$null$,$null$
ST LOUIS UNIVERSITY,8022921964.000,MO,CAHPS_GRP_3,Patients' rating of clinicians.,84.000,$null$,$null$,$null$,$null$,$null$,$null$
ST LOUIS UNIVERSITY,8022921964.000,MO,CAHPS_GRP_5,Health promotion and education.,58.000,$null$,$null$,$null$,$null$,$null$,$null$
ST LOUIS UNIVERSITY,8022921964.000,MO,CAHPS_GRP_8,Courteous and helpful office staff.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
ST LOUIS UNIVERSITY,8022921964.000,MO,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
SPIRIT PHYSICIAN SERVICES INC,8022922202.000,PA,CAHPS_GRP_1,Getting timely care, appointments, and information.,55.000,$null$,$null$,$null$,$null$,$null$,$null$
SPIRIT PHYSICIAN SERVICES INC,8022922202.000,PA,CAHPS_GRP_10,Between visit communication.,49.000,$null$,$null$,$null$,$null$,$null$,$null$
SPIRIT PHYSICIAN SERVICES INC,8022922202.000,PA,CAHPS_GRP_12,Attention to patient medication cost.,18.000,$null$,$null$,$null$,$null$,$null$,$null$
SPIRIT PHYSICIAN SERVICES INC,8022922202.000,PA,CAHPS_GRP_2,How well clinicians communicate.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
SPIRIT PHYSICIAN SERVICES INC,8022922202.000,PA,CAHPS_GRP_3,Patients' rating of clinicians.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
SPIRIT PHYSICIAN SERVICES INC,8022922202.000,PA,CAHPS_GRP_5,Health promotion and education.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
SPIRIT PHYSICIAN SERVICES INC,8022922202.000,PA,CAHPS_GRP_8,Courteous and helpful office staff.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
SPIRIT PHYSICIAN SERVICES INC,8022922202.000,PA,CAHPS_GRP_9,Clinicians working together for your care.,70.000,$null$,$null$,$null$,$null$,$null$,$null$
REGENTS OF THE UNIVERSITY OF CA,8022922475.000,CA,CAHPS_GRP_1,Getting timely care, appointments, and information.,61.000,$null$,$null$,$null$,$null$,$null$,$null$
REGENTS OF THE UNIVERSITY OF CA,8022922475.000,CA,CAHPS_GRP_10,Between visit communication.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
REGENTS OF THE UNIVERSITY OF CA,8022922475.000,CA,CAHPS_GRP_12,Attention to patient medication cost.,19.000,$null$,$null$,$null$,$null$,$null$,$null$
REGENTS OF THE UNIVERSITY OF CA,8022922475.000,CA,CAHPS_GRP_2,How well clinicians communicate.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
REGENTS OF THE UNIVERSITY OF CA,8022922475.000,CA,CAHPS_GRP_3,Patients' rating of clinicians.,78.000,$null$,$null$,$null$,$null$,$null$,$null$
REGENTS OF THE UNIVERSITY OF CA,8022922475.000,CA,CAHPS_GRP_5,Health promotion and education.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
REGENTS OF THE UNIVERSITY OF CA,8022922475.000,CA,CAHPS_GRP_8,Courteous and helpful office staff.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
REGENTS OF THE UNIVERSITY OF CA,8022922475.000,CA,CAHPS_GRP_9,Clinicians working together for your care.,73.000,$null$,$null$,$null$,$null$,$null$,$null$
SCOTT AND WHITE CLINIC,8123923604.000,TX,CAHPS_GRP_1,Getting timely care, appointments, and information.,67.000,$null$,$null$,$null$,$null$,$null$,$null$
SCOTT AND WHITE CLINIC,8123923604.000,TX,CAHPS_GRP_10,Between visit communication.,60.000,$null$,$null$,$null$,$null$,$null$,$null$
SCOTT AND WHITE CLINIC,8123923604.000,TX,CAHPS_GRP_12,Attention to patient medication cost.,23.000,$null$,$null$,$null$,$null$,$null$,$null$
SCOTT AND WHITE CLINIC,8123923604.000,TX,CAHPS_GRP_2,How well clinicians communicate.,84.000,$null$,$null$,$null$,$null$,$null$,$null$
SCOTT AND WHITE CLINIC,8123923604.000,TX,CAHPS_GRP_3,Patients' rating of clinicians.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
SCOTT AND WHITE CLINIC,8123923604.000,TX,CAHPS_GRP_5,Health promotion and education.,62.000,$null$,$null$,$null$,$null$,$null$,$null$
SCOTT AND WHITE CLINIC,8123923604.000,TX,CAHPS_GRP_8,Courteous and helpful office staff.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
SCOTT AND WHITE CLINIC,8123923604.000,TX,CAHPS_GRP_9,Clinicians working together for your care.,78.000,$null$,$null$,$null$,$null$,$null$,$null$
MCLEOD PHYSICIAN ASSOCIATES II,8224031307.000,SC,CAHPS_GRP_1,Getting timely care, appointments, and information.,64.000,$null$,$null$,$null$,$null$,$null$,$null$
MCLEOD PHYSICIAN ASSOCIATES II,8224031307.000,SC,CAHPS_GRP_10,Between visit communication.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
MCLEOD PHYSICIAN ASSOCIATES II,8224031307.000,SC,CAHPS_GRP_12,Attention to patient medication cost.,33.000,$null$,$null$,$null$,$null$,$null$,$null$
MCLEOD PHYSICIAN ASSOCIATES II,8224031307.000,SC,CAHPS_GRP_2,How well clinicians communicate.,84.000,$null$,$null$,$null$,$null$,$null$,$null$
MCLEOD PHYSICIAN ASSOCIATES II,8224031307.000,SC,CAHPS_GRP_3,Patients' rating of clinicians.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
MCLEOD PHYSICIAN ASSOCIATES II,8224031307.000,SC,CAHPS_GRP_5,Health promotion and education.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
MCLEOD PHYSICIAN ASSOCIATES II,8224031307.000,SC,CAHPS_GRP_8,Courteous and helpful office staff.,86.000,$null$,$null$,$null$,$null$,$null$,$null$
MCLEOD PHYSICIAN ASSOCIATES II,8224031307.000,SC,CAHPS_GRP_9,Clinicians working together for your care.,78.000,$null$,$null$,$null$,$null$,$null$,$null$
BERKSHIRE FACULTY SERVICES INC,8224068424.000,MA,CAHPS_GRP_1,Getting timely care, appointments, and information.,60.000,$null$,$null$,$null$,$null$,$null$,$null$
BERKSHIRE FACULTY SERVICES INC,8224068424.000,MA,CAHPS_GRP_10,Between visit communication.,45.000,$null$,$null$,$null$,$null$,$null$,$null$
BERKSHIRE FACULTY SERVICES INC,8224068424.000,MA,CAHPS_GRP_12,Attention to patient medication cost.,25.000,$null$,$null$,$null$,$null$,$null$,$null$
BERKSHIRE FACULTY SERVICES INC,8224068424.000,MA,CAHPS_GRP_2,How well clinicians communicate.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
BERKSHIRE FACULTY SERVICES INC,8224068424.000,MA,CAHPS_GRP_3,Patients' rating of clinicians.,75.000,$null$,$null$,$null$,$null$,$null$,$null$
BERKSHIRE FACULTY SERVICES INC,8224068424.000,MA,CAHPS_GRP_5,Health promotion and education.,59.000,$null$,$null$,$null$,$null$,$null$,$null$
BERKSHIRE FACULTY SERVICES INC,8224068424.000,MA,CAHPS_GRP_8,Courteous and helpful office staff.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
BERKSHIRE FACULTY SERVICES INC,8224068424.000,MA,CAHPS_GRP_9,Clinicians working together for your care.,73.000,$null$,$null$,$null$,$null$,$null$,$null$
MARIETTA MEMORIAL HOSPITAL,8224928965.000,OH,CAHPS_GRP_1,Getting timely care, appointments, and information.,54.000,$null$,$null$,$null$,$null$,$null$,$null$
MARIETTA MEMORIAL HOSPITAL,8224928965.000,OH,CAHPS_GRP_10,Between visit communication.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
MARIETTA MEMORIAL HOSPITAL,8224928965.000,OH,CAHPS_GRP_12,Attention to patient medication cost.,34.000,$null$,$null$,$null$,$null$,$null$,$null$
MARIETTA MEMORIAL HOSPITAL,8224928965.000,OH,CAHPS_GRP_2,How well clinicians communicate.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
MARIETTA MEMORIAL HOSPITAL,8224928965.000,OH,CAHPS_GRP_3,Patients' rating of clinicians.,82.000,$null$,$null$,$null$,$null$,$null$,$null$
MARIETTA MEMORIAL HOSPITAL,8224928965.000,OH,CAHPS_GRP_5,Health promotion and education.,58.000,$null$,$null$,$null$,$null$,$null$,$null$
MARIETTA MEMORIAL HOSPITAL,8224928965.000,OH,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$,$null$,$null$,$null$,$null$
MARIETTA MEMORIAL HOSPITAL,8224928965.000,OH,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
BELOIT HEALTH SYSTEM INC,8224947858.000,WI,CAHPS_GRP_1,Getting timely care, appointments, and information.,68.000,$null$,$null$,$null$,$null$,$null$,$null$
BELOIT HEALTH SYSTEM INC,8224947858.000,WI,CAHPS_GRP_10,Between visit communication.,55.000,$null$,$null$,$null$,$null$,$null$,$null$
BELOIT HEALTH SYSTEM INC,8224947858.000,WI,CAHPS_GRP_12,Attention to patient medication cost.,22.000,$null$,$null$,$null$,$null$,$null$,$null$
BELOIT HEALTH SYSTEM INC,8224947858.000,WI,CAHPS_GRP_2,How well clinicians communicate.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
BELOIT HEALTH SYSTEM INC,8224947858.000,WI,CAHPS_GRP_3,Patients' rating of clinicians.,77.000,$null$,$null$,$null$,$null$,$null$,$null$
BELOIT HEALTH SYSTEM INC,8224947858.000,WI,CAHPS_GRP_5,Health promotion and education.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
BELOIT HEALTH SYSTEM INC,8224947858.000,WI,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$,$null$,$null$,$null$,$null$
BELOIT HEALTH SYSTEM INC,8224947858.000,WI,CAHPS_GRP_9,Clinicians working together for your care.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
ASANTE PHYSICIAN PARTNERS,8325206246.000,OR,CAHPS_GRP_1,Getting timely care, appointments, and information.,49.000,$null$,$null$,$null$,$null$,$null$,$null$
ASANTE PHYSICIAN PARTNERS,8325206246.000,OR,CAHPS_GRP_10,Between visit communication.,62.000,$null$,$null$,$null$,$null$,$null$,$null$
ASANTE PHYSICIAN PARTNERS,8325206246.000,OR,CAHPS_GRP_12,Attention to patient medication cost.,26.000,$null$,$null$,$null$,$null$,$null$,$null$
ASANTE PHYSICIAN PARTNERS,8325206246.000,OR,CAHPS_GRP_2,How well clinicians communicate.,82.663,8.000,$null$,$null$,$null$,$null$,$null$
ASANTE PHYSICIAN PARTNERS,8325206246.000,OR,CAHPS_GRP_3,Patients' rating of clinicians.,79.798,8.000,$null$,$null$,$null$,$null$,$null$
ASANTE PHYSICIAN PARTNERS,8325206246.000,OR,CAHPS_GRP_5,Health promotion and education.,50.000,$null$,$null$,$null$,$null$,$null$,$null$
ASANTE PHYSICIAN PARTNERS,8325206246.000,OR,CAHPS_GRP_8,Courteous and helpful office staff.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
ASANTE PHYSICIAN PARTNERS,8325206246.000,OR,CAHPS_GRP_9,Clinicians working together for your care.,71.000,$null$,$null$,$null$,$null$,$null$,$null$
FREEMAN-OAKHILL HEALTH SYSTEM,8325942253.000,MO,CAHPS_GRP_1,Getting timely care, appointments, and information.,59.661,8.000,$null$,$null$,$null$,$null$,$null$
FREEMAN-OAKHILL HEALTH SYSTEM,8325942253.000,MO,CAHPS_GRP_10,Between visit communication.,55.000,$null$,$null$,$null$,$null$,$null$,$null$
FREEMAN-OAKHILL HEALTH SYSTEM,8325942253.000,MO,CAHPS_GRP_12,Attention to patient medication cost.,34.000,$null$,$null$,$null$,$null$,$null$,$null$
FREEMAN-OAKHILL HEALTH SYSTEM,8325942253.000,MO,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
FREEMAN-OAKHILL HEALTH SYSTEM,8325942253.000,MO,CAHPS_GRP_3,Patients' rating of clinicians.,77.000,$null$,$null$,$null$,$null$,$null$,$null$
FREEMAN-OAKHILL HEALTH SYSTEM,8325942253.000,MO,CAHPS_GRP_5,Health promotion and education.,53.000,$null$,$null$,$null$,$null$,$null$,$null$
FREEMAN-OAKHILL HEALTH SYSTEM,8325942253.000,MO,CAHPS_GRP_8,Courteous and helpful office staff.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
FREEMAN-OAKHILL HEALTH SYSTEM,8325942253.000,MO,CAHPS_GRP_9,Clinicians working together for your care.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD MEDICAL CENTER,8325950215.000,SD,CAHPS_GRP_1,Getting timely care, appointments, and information.,55.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD MEDICAL CENTER,8325950215.000,SD,CAHPS_GRP_10,Between visit communication.,60.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD MEDICAL CENTER,8325950215.000,SD,CAHPS_GRP_12,Attention to patient medication cost.,29.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD MEDICAL CENTER,8325950215.000,SD,CAHPS_GRP_2,How well clinicians communicate.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD MEDICAL CENTER,8325950215.000,SD,CAHPS_GRP_3,Patients' rating of clinicians.,74.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD MEDICAL CENTER,8325950215.000,SD,CAHPS_GRP_5,Health promotion and education.,61.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD MEDICAL CENTER,8325950215.000,SD,CAHPS_GRP_8,Courteous and helpful office staff.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD MEDICAL CENTER,8325950215.000,SD,CAHPS_GRP_9,Clinicians working together for your care.,73.000,$null$,$null$,$null$,$null$,$null$,$null$
AFFILIATED COMMUNITY MEDICAL CENTERS,8325952823.000,MN,CAHPS_GRP_1,Getting timely care, appointments, and information.,54.000,$null$,$null$,$null$,$null$,$null$,$null$
AFFILIATED COMMUNITY MEDICAL CENTERS,8325952823.000,MN,CAHPS_GRP_10,Between visit communication.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
AFFILIATED COMMUNITY MEDICAL CENTERS,8325952823.000,MN,CAHPS_GRP_12,Attention to patient medication cost.,22.000,$null$,$null$,$null$,$null$,$null$,$null$
AFFILIATED COMMUNITY MEDICAL CENTERS,8325952823.000,MN,CAHPS_GRP_2,How well clinicians communicate.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
AFFILIATED COMMUNITY MEDICAL CENTERS,8325952823.000,MN,CAHPS_GRP_3,Patients' rating of clinicians.,74.000,$null$,$null$,$null$,$null$,$null$,$null$
AFFILIATED COMMUNITY MEDICAL CENTERS,8325952823.000,MN,CAHPS_GRP_5,Health promotion and education.,54.000,$null$,$null$,$null$,$null$,$null$,$null$
AFFILIATED COMMUNITY MEDICAL CENTERS,8325952823.000,MN,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$,$null$,$null$,$null$,$null$
AFFILIATED COMMUNITY MEDICAL CENTERS,8325952823.000,MN,CAHPS_GRP_9,Clinicians working together for your care.,71.000,$null$,$null$,$null$,$null$,$null$,$null$
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914.000,FL,CAHPS_GRP_1,Getting timely care, appointments, and information.,55.000,$null$,$null$,$null$,$null$,$null$,$null$
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914.000,FL,CAHPS_GRP_10,Between visit communication.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914.000,FL,CAHPS_GRP_12,Attention to patient medication cost.,23.000,$null$,$null$,$null$,$null$,$null$,$null$
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914.000,FL,CAHPS_GRP_2,How well clinicians communicate.,74.000,$null$,$null$,$null$,$null$,$null$,$null$
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914.000,FL,CAHPS_GRP_3,Patients' rating of clinicians.,73.000,$null$,$null$,$null$,$null$,$null$,$null$
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914.000,FL,CAHPS_GRP_5,Health promotion and education.,62.000,$null$,$null$,$null$,$null$,$null$,$null$
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914.000,FL,CAHPS_GRP_8,Courteous and helpful office staff.,74.000,$null$,$null$,$null$,$null$,$null$,$null$
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914.000,FL,CAHPS_GRP_9,Clinicians working together for your care.,72.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER EAST BAY MEDICAL FOUNDATION,8426039694.000,CA,CAHPS_GRP_1,Getting timely care, appointments, and information.,53.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER EAST BAY MEDICAL FOUNDATION,8426039694.000,CA,CAHPS_GRP_10,Between visit communication.,62.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER EAST BAY MEDICAL FOUNDATION,8426039694.000,CA,CAHPS_GRP_12,Attention to patient medication cost.,26.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER EAST BAY MEDICAL FOUNDATION,8426039694.000,CA,CAHPS_GRP_2,How well clinicians communicate.,82.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER EAST BAY MEDICAL FOUNDATION,8426039694.000,CA,CAHPS_GRP_3,Patients' rating of clinicians.,77.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER EAST BAY MEDICAL FOUNDATION,8426039694.000,CA,CAHPS_GRP_5,Health promotion and education.,59.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER EAST BAY MEDICAL FOUNDATION,8426039694.000,CA,CAHPS_GRP_8,Courteous and helpful office staff.,84.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER EAST BAY MEDICAL FOUNDATION,8426039694.000,CA,CAHPS_GRP_9,Clinicians working together for your care.,70.000,$null$,$null$,$null$,$null$,$null$,$null$
PERMIAN PREMIER HEALTH SERVICES INC,8426051293.000,TX,CAHPS_GRP_1,Getting timely care, appointments, and information.,60.000,$null$,$null$,$null$,$null$,$null$,$null$
PERMIAN PREMIER HEALTH SERVICES INC,8426051293.000,TX,CAHPS_GRP_10,Between visit communication.,67.000,$null$,$null$,$null$,$null$,$null$,$null$
PERMIAN PREMIER HEALTH SERVICES INC,8426051293.000,TX,CAHPS_GRP_12,Attention to patient medication cost.,40.000,$null$,$null$,$null$,$null$,$null$,$null$
PERMIAN PREMIER HEALTH SERVICES INC,8426051293.000,TX,CAHPS_GRP_2,How well clinicians communicate.,87.000,$null$,$null$,$null$,$null$,$null$,$null$
PERMIAN PREMIER HEALTH SERVICES INC,8426051293.000,TX,CAHPS_GRP_3,Patients' rating of clinicians.,86.000,$null$,$null$,$null$,$null$,$null$,$null$
PERMIAN PREMIER HEALTH SERVICES INC,8426051293.000,TX,CAHPS_GRP_5,Health promotion and education.,66.000,$null$,$null$,$null$,$null$,$null$,$null$
PERMIAN PREMIER HEALTH SERVICES INC,8426051293.000,TX,CAHPS_GRP_8,Courteous and helpful office staff.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
PERMIAN PREMIER HEALTH SERVICES INC,8426051293.000,TX,CAHPS_GRP_9,Clinicians working together for your care.,75.000,$null$,$null$,$null$,$null$,$null$,$null$
PHOEBE PHYSICIAN GROUP INC,8426112350.000,GA,CAHPS_GRP_1,Getting timely care, appointments, and information.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
PHOEBE PHYSICIAN GROUP INC,8426112350.000,GA,CAHPS_GRP_10,Between visit communication.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
PHOEBE PHYSICIAN GROUP INC,8426112350.000,GA,CAHPS_GRP_12,Attention to patient medication cost.,25.000,$null$,$null$,$null$,$null$,$null$,$null$
PHOEBE PHYSICIAN GROUP INC,8426112350.000,GA,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
PHOEBE PHYSICIAN GROUP INC,8426112350.000,GA,CAHPS_GRP_3,Patients' rating of clinicians.,77.000,$null$,$null$,$null$,$null$,$null$,$null$
PHOEBE PHYSICIAN GROUP INC,8426112350.000,GA,CAHPS_GRP_5,Health promotion and education.,47.000,$null$,$null$,$null$,$null$,$null$,$null$
PHOEBE PHYSICIAN GROUP INC,8426112350.000,GA,CAHPS_GRP_8,Courteous and helpful office staff.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
PHOEBE PHYSICIAN GROUP INC,8426112350.000,GA,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663.000,VA,CAHPS_GRP_1,Getting timely care, appointments, and information.,59.661,8.000,$null$,$null$,$null$,$null$,$null$
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663.000,VA,CAHPS_GRP_10,Between visit communication.,57.853,8.000,$null$,$null$,$null$,$null$,$null$
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663.000,VA,CAHPS_GRP_12,Attention to patient medication cost.,26.415,8.000,$null$,$null$,$null$,$null$,$null$
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663.000,VA,CAHPS_GRP_2,How well clinicians communicate.,82.663,8.000,$null$,$null$,$null$,$null$,$null$
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663.000,VA,CAHPS_GRP_3,Patients' rating of clinicians.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663.000,VA,CAHPS_GRP_5,Health promotion and education.,60.000,$null$,$null$,$null$,$null$,$null$,$null$
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663.000,VA,CAHPS_GRP_8,Courteous and helpful office staff.,79.798,8.000,$null$,$null$,$null$,$null$,$null$
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663.000,VA,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797.000,PA,CAHPS_GRP_1,Getting timely care, appointments, and information.,68.000,$null$,$null$,$null$,$null$,$null$,$null$
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797.000,PA,CAHPS_GRP_10,Between visit communication.,51.000,$null$,$null$,$null$,$null$,$null$,$null$
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797.000,PA,CAHPS_GRP_12,Attention to patient medication cost.,24.000,$null$,$null$,$null$,$null$,$null$,$null$
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797.000,PA,CAHPS_GRP_2,How well clinicians communicate.,88.000,$null$,$null$,$null$,$null$,$null$,$null$
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797.000,PA,CAHPS_GRP_3,Patients' rating of clinicians.,87.000,$null$,$null$,$null$,$null$,$null$,$null$
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797.000,PA,CAHPS_GRP_5,Health promotion and education.,58.000,$null$,$null$,$null$,$null$,$null$,$null$
